name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 41454, 'max': 62916}","₦ 41,454 - ₦ 62,916","{'min': 56007, 'max': 84966}","₦ 56,007 - ₦ 84,966",26,Shipped from abroad,"{'no': None, 'out': 5}",76.65822357311718,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/0738353/1.jpg?2531,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-353837003.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 41454, 'max': 72030}","₦ 41,454 - ₦ 72,030","{'min': 56007, 'max': 97314}","₦ 56,007 - ₦ 97,314",26,Shipped from abroad,"{'no': None, 'out': 5}",76.65822357311718,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/4973453/1.jpg?2878,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-354379433.html
Nutella Cute Bluetooth 3D Wireless Chocolate Beans Bottle M,"{'min': 41904, 'max': None}","₦ 41,904","{'min': 69396, 'max': None}","₦ 69,396",40,Shipped from abroad,"{'no': None, 'out': 5}",75.83500381825125,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2523313/1.jpg?4143,https://www.jumia.com.ng/nutella-cute-bluetooth-3d-wireless-chocolate-beans-bottle-m-generic-mpg6414952.html
3D Chocolate Cute Nutella M Bottle Wireless Bluetooth Beans,"{'min': 41904, 'max': None}","₦ 41,904","{'min': 69396, 'max': None}","₦ 69,396",40,Shipped from abroad,"{'no': None, 'out': 5}",75.83500381825125,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/0184213/1.jpg?7110,https://www.jumia.com.ng/3d-chocolate-cute-nutella-m-bottle-wireless-bluetooth-beans-generic-mpg5962878.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 46599, 'max': None}","₦ 46,599","{'min': 62916, 'max': None}","₦ 62,916",26,Shipped from abroad,"{'no': None, 'out': 5}",68.19438185368784,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/7638353/1.jpg?2520,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-353836765.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 46599, 'max': 67914}","₦ 46,599 - ₦ 67,914","{'min': 62916, 'max': 91728}","₦ 62,916 - ₦ 91,728",26,Shipped from abroad,"{'no': None, 'out': 5}",68.19438185368784,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/0024453/1.jpg?4091,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-354420026.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging,"{'min': 54591, 'max': None}","₦ 54,591","{'min': 90991, 'max': None}","₦ 90,991",40,Shipped from abroad,"{'no': None, 'out': 5}",58.210877250828894,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/1922383/1.jpg?5528,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-383229192.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 57918, 'max': None}","₦ 57,918","{'min': 78204, 'max': None}","₦ 78,204",26,Shipped from abroad,"{'no': None, 'out': 5}",54.86705342035292,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/0738353/1.jpg?2533,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-353837036.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 61299, 'max': 62916}","₦ 61,299 - ₦ 62,916","{'min': 82761, 'max': 84966}","₦ 82,761 - ₦ 84,966",26,Shipped from abroad,"{'no': None, 'out': 5}",51.840813063834645,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/3573453/1.jpg?3036,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-354375300.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4217522/1.jpg?2055,https://www.jumia.com.ng/for-casenutella-hazelnut-sauce-case-for-12-case-silicone-generic-mpg5562330.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6446442/1.jpg?8947,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-244644670.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/1516822/1.jpg?2647,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-228615162.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/9346442/1.jpg?9128,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-244643971.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2516822/1.jpg?2644,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-228615234.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0516822/1.jpg?2651,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-228615039.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/8446442/1.jpg?8888,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-244644803.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/1546442/1.jpg?8771,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-244645117.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/8446442/1.jpg?8865,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-244644867.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/2516822/1.jpg?2645,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-228615222.html
"For Case,Nutella Hazelnut Sauce Case For 12 Case Silicone","{'min': 15180, 'max': None}","₦ 15,180","{'min': 21533, 'max': None}","₦ 21,533",30,Shipped from abroad,"{'no': None, 'out': 5}",47.76904704212676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/1516822/1.jpg?2648,https://www.jumia.com.ng/generic-for-casenutella-hazelnut-sauce-case-for-12-case-silicone-228615121.html
New 3d Printing Nutella Pants Delicious Chocolate Sauce Men Women Tracksuits Crewneck Hip Hop Shorts Plus Size S-7xl,"{'min': 68169, 'max': None}","₦ 68,169","{'min': 115881, 'max': None}","₦ 115,881",41,Shipped from abroad,"{'no': None, 'out': 5}",46.6163505405683,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/7946572/1.jpg?2150,https://www.jumia.com.ng/generic-new-3d-printing-nutella-pants-delicious-chocolate-sauce-men-women-tracksuits-crewneck-hip-hop-shorts-plus-size-s-7xl-275649776.html
112 Dollhouse Miniature Accessories Mini Nutella Jam Coffee,"{'min': 13699, 'max': None}","₦ 13,699","{'min': 17850, 'max': None}","₦ 17,850",23,Shipped from abroad,"{'no': None, 'out': 5}",43.108575456527966,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/7467732/1.jpg?4969,https://www.jumia.com.ng/generic-112-dollhouse-miniature-accessories-mini-nutella-jam-coffee-237764719.html
Nutella Chocolate Spread  - 350g,"{'min': 12999, 'max': None}","₦ 12,999","{'min': 19800, 'max': None}","₦ 19,800",34,,"{'no': None, 'out': 5}",40.90578672599511,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/0139783/1.jpg?6928,https://www.jumia.com.ng/nutella-chocolate-spread-350g-387931034.html
Ovxxons 1 Pair Creative Fun Mini Simulation Nutella Peanut Butter Chocolate Paste Stereo Resin Earrings Female,"{'min': 12191, 'max': None}","₦ 12,191","{'min': 16533, 'max': None}","₦ 16,533",26,Shipped from abroad,"{'no': None, 'out': 5}",38.363139162751466,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/3422183/1.jpg?7789,https://www.jumia.com.ng/generic-ovxxons-1-pair-creative-fun-mini-simulation-nutella-peanut-butter-chocolate-paste-stereo-resin-earrings-female-381224356.html
Nutella Super Nutella Chocolate Spread - 350g,"{'min': 11999, 'max': None}","₦ 11,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",37.75894568237674,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6944973/1.jpg?6044,https://www.jumia.com.ng/nutella-super-nutella-chocolate-spread-350g-379449679.html
4pcs 1 12 Doll House Miniature Nutella Jam Coffee,"{'min': 11544, 'max': None}","₦ 11,544","{'min': 12814, 'max': None}","₦ 12,814",10,Shipped from abroad,"{'no': None, 'out': 5}",36.327133007530385,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/2210572/1.jpg?4244,https://www.jumia.com.ng/generic-4pcs-1-12-doll-house-miniature-nutella-jam-coffee-275012267.html
Mhorlx Women/men Hoodie Print Nutella Food Hop Casual Style S New Brand Pullovers 3d Sweatshirts Hoodies,"{'min': 87777, 'max': None}","₦ 87,777","{'min': 146285, 'max': None}","₦ 146,285",40,Shipped from abroad,"{'no': None, 'out': 5}",36.20299167207811,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/8040763/1.jpg?2780,https://www.jumia.com.ng/generic-mhorlx-womenmen-hoodie-print-nutella-food-hop-casual-style-s-new-brand-pullovers-3d-sweatshirts-hoodies-367040870.html
