name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Women Sneakers - Black,"{'min': 4759, 'max': None}","₦ 4,759","{'min': 5899, 'max': None}","₦ 5,899",19,,"{'no': 3, 'out': 5}",43.95858157600613,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/3657933/1.jpg?4767,https://www.jumia.com.ng/fashion-women-sneakers-black-339756385.html
Women Shoes For Women Shoes Ladies,"{'min': 4759, 'max': None}","₦ 4,759","{'min': 5899, 'max': None}","₦ 5,899",19,,"{'no': 4, 'out': 5}",43.95858157600613,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/7396933/1.jpg?1380,https://www.jumia.com.ng/fashion-women-shoes-for-women-shoes-ladies-339693771.html
Women Sneakers Ladies Shoes Sneakers,"{'min': 4718, 'max': None}","₦ 4,718","{'min': 5560, 'max': None}","₦ 5,560",15,,"{'no': 3, 'out': 5}",43.5798671728508,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9547502/1.jpg?5968,https://www.jumia.com.ng/fashion-women-sneakers-ladies-shoes-sneakers-205745981.html
Ladies  Sneakers Breathable And Antiskid For Women Sports Shoes-Black,"{'min': 4681, 'max': None}","₦ 4,681","{'min': 5954, 'max': None}","₦ 5,954",21,,"{'no': 3, 'out': 5}",43.23810051634476,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/739107/1.jpg?3479,https://www.jumia.com.ng/fashion-ladies-sneakers-breathable-and-antiskid-for-women-sports-shoes-black-70193744.html
Women Shoes Ladies Shoes Sneakers Shoes,"{'min': 4636, 'max': None}","₦ 4,636","{'min': 5100, 'max': None}","₦ 5,100",9,,"{'no': 4, 'out': 5}",42.82243836654012,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/3790442/1.jpg?8484,https://www.jumia.com.ng/fashion-women-shoes-ladies-shoes-sneakers-shoes-244097321.html
ADIDAS Advantage Shoes Men,"{'min': 25764, 'max': 51528}","₦ 25,764 - ₦ 51,528","{'min': 64410, 'max': None}","₦ 64,410",60,,"{'no': 4, 'out': 5}",42.02026082906381,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0214491/1.jpg?0702,https://www.jumia.com.ng/adidas-advantage-shoes-men-194412005.html
Mens Casual High-Top Shoes Running Sneakers - Beige,"{'min': 26888, 'max': None}","₦ 26,888","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",40.263686402856294,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/5949183/1.jpg?7777,https://www.jumia.com.ng/fashion-mens-casual-high-top-shoes-running-sneakers-beige-381949520.html
Women Shoes Sneakers Sport Shoes Running Sneakers Casual Sneakers,"{'min': 4290, 'max': None}","₦ 4,290","{'min': 5245, 'max': None}","₦ 5,245",18,,"{'no': 3, 'out': 5}",39.62645828137556,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/8277272/1.jpg?4802,https://www.jumia.com.ng/fashion-women-shoes-sneakers-sport-shoes-running-sneakers-casual-sneakers-272772895.html
Women Sports Shoes Lightweight Non-slip Breathable,"{'min': 4222, 'max': None}","₦ 4,222","{'min': 8522, 'max': None}","₦ 8,522",50,,"{'no': 4, 'out': 5}",38.99834658833744,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5975592/1.jpg?0721,https://www.jumia.com.ng/generic-women-sports-shoes-lightweight-non-slip-breathable-295579500.html
2024 Women Shoes Sports Ladies Shoes Sneakers,"{'min': 3927, 'max': None}","₦ 3,927","{'min': 12510, 'max': None}","₦ 12,510",69,,"{'no': 3, 'out': 5}",36.27345027295148,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/2960172/1.jpg?9734,https://www.jumia.com.ng/fashion-2024-women-shoes-sports-ladies-shoes-sneakers-271069208.html
ADIDAS Core Sneakers Advantage Base,"{'min': 39318, 'max': None}","₦ 39,318","{'min': 91970, 'max': None}","₦ 91,970",57,,"{'no': 4, 'out': 5}",27.53471692354647,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/885248/1.jpg?9651,https://www.jumia.com.ng/adidas-core-sneakers-advantage-base-84258896.html
ADIDAS BreezeWalk W WOMEN,"{'min': 43785, 'max': None}","₦ 43,785","{'min': 102420, 'max': None}","₦ 102,420",57,,"{'no': 5, 'out': 5}",24.725590955806783,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/9049472/1.jpg?8227,https://www.jumia.com.ng/adidas-breezewalk-w-women-274940961.html
